FINESS_Etab;Nom_court;Code_postal;Commune;Public_ou_prive;Lat;Long
290024207;HOPITAL DE JOUR DE CARHAIX-PLOUGUER;29270;CARHAIX PLOUGUER;Public;48.273276;-3.586508
290029909;CMP CATTP LANDERNEAU;29800;LANDERNEAU;Public;48.452377;-4.252666
290029958;HOPITAL DE JOUR LA PIERRE DE LUNE;29800;LANDERNEAU;Public;48.450168;-4.245465
290029982;SMUR SITE CH DOUARNENEZ - CHIC;29100;DOUARNENEZ;Public;48.083922;-4.318141
290030436;CAP DES HAUTS DE PROVENCE;29200;BREST;Public;48.407710;-4.514784
290034610;GHBS - HOPITAL BOIS JOLY;29391;QUIMPERLE;Public;47.861737;-3.559902
290034909;GHBS SITE HDJ JEAN BAPTISTE PUSSIN;29300;QUIMPERLE;Public;47.874479;-3.562080
290034917;APPARTEMENT THERAPEUTIQUE BREST;29200;BREST;Public;48.402602;-4.491707
290034925;APPARTEMENT THERAPEUTIQUE (2) BREST;29200;BREST;Public;48.403596;-4.489043
290034958;CMP CATTP PLABENNEC;29860;PLABENNEC;Public;48.496891;-4.423950
290034966;CATTP PLOUGUERNEAU;29880;PLOUGUERNEAU;Public;48.602129;-4.498391
290034974;CMP INFANTO PLOUGASTEL DAOULAS;29470;PLOUGASTEL DAOULAS;Public;48.366023;-4.393423
290034982;CMP INFANTO CROZON;29160;CROZON;Public;48.238888;-4.469928
290034990;CMP INFANTO PLOUZANE;29280;PLOUZANE;Public;48.373763;-4.584464
290035054;HOPITAL DE JOUR ADDICTOLOGIE BREST;29200;BREST;Public;48.406435;-4.497736
290036334;CMP CATTP MOISSAN BREST;29200;BREST;Public;48.383078;-4.504389
290036722;CHRU BREST SITE PERHARIDY ILDYS;29684;ROSCOFF;Public;48.712051;-3.988098
290036755;UNITED'INVESTIGATION CLINIQUE DU CIR;29200;BREST;Public;48.397742;-4.483250
290038025;HDJ SITE LE FAOU;29590;LE FAOU;Public;48.304375;-4.158047
290039791;CMP CATTP PONT DE BUIS;29590;PONT DE BUIS LES QUIMERCH;Public;48.288474;-4.179613
290039809;CMP CATTP CROZON;29160;CROZON;Public;48.251038;-4.491549
290039817;HOPITAL DE JOUR BELLEVUE;29200;BREST;Public;48.407710;-4.514784
290039825;HOPITAL DE JOUR ATICA;29200;BREST;Public;48.406435;-4.497736
290039833;HOPITAL DE JOUR GERONTOPSY TRIELEN;29200;BREST;Public;48.409464;-4.511140
290039841;HOPITAL DE JOUR DE GÉRONTOPSYCHIATRIE;29200;BREST;Public;48.406435;-4.497736
290039858;ANTENNE CMP CLEDER;29233;CLEDER;Public;48.663272;-4.124322
290039866;ANTENNE CMP PLEYBEN;29190;PLEYBEN;Public;48.239335;-3.979163
290039874;ANTENNE CMP GUERLESQUIN;29650;GUERLESQUIN;Public;48.528544;-3.584357
290039882;SOINS À DOMICILE CH MORLAIX;29600;MORLAIX;Public;48.595154;-3.820202
290040013;CMP CATTP DE VINCI MORLAIX;29600;MORLAIX;Public;48.590867;-3.825192
2A0000212;HOPITAL LOCAL DE BONIFACIO;20169;BONIFACIO;Public;41.378115;9.211359
2A0002614;CENTRE HOSPITALIER DE SARTENE;20100;SARTENE;Public;41.617679;8.891839
2A0003125;ANTENNE DU SMUR  SARTENE;20100;SARTENE;Public;41.617679;8.891839
2A0003133;ANTENNE DU SMUR PORTO VECCHIO;20137;PORTO VECCHIO;Public;41.582755;9.263941
2A0003141;ANTENNE DU SMUR  BONIFACIO;20169;BONIFACIO;Public;41.378115;9.211359
2A0004842;CH ND LA MISERICORDE;20090;AJACCIO;Public;41.933680;8.715325
2A0005468;SITE MEDECINE NUCLEAIRE;20176;AJACCIO;Public;41.933680;8.715325
2A0005484;U.S.M.P D'AJACCIO;20000;AJACCIO;Public;41.925991;8.736865
2A0022778;ANNEXE CHG AJACCIO V240;20000;AJACCIO;Public;41.914911;8.729736
2B0000012;CENTRE HOSPITALIER DE BASTIA;20604;BASTIA;Public;42.681455;9.426906
2B0000038;CH CORTE;20250;CORTE;Public;42.301604;9.155358
2B0003420;ANTENNE SMUR DE CALVI;20260;CALVI;Public;42.557295;8.768233
2B0003446;HOPITAL DE JOUR DE PEDO PSY;20200;BASTIA;Public;42.708240;9.451805
2B0004907;ANTENNE SMUR DE CORTE;20250;CORTE;Public;42.301604;9.155358
2B0005359;CH CALVI;20260;CALVI;Public;42.547681;8.762076
2B0005409;ANTENNE SMUR GHISONACCIA;20240;GHISONACCIA;Public;42.043497;9.407257
2B0006910;SITE ANNEXE AGLIANI;20600;BASTIA;Public;42.674485;9.426285
2B0007140;U.S.M.P DE BORGO;20290;BORGO;Public;42.562712;9.438007
2B0007157;U.S.M.P DE CASABIANDA;20270;ALERIA;Public;42.104004;9.498729
300000023;CH ALES CEVENNES;30103;ALES;Public;44.140456;4.097162
300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;30205;BAGNOLS SUR CEZE;Public;44.158426;4.624846
300000049;CH BEAUCAIRE;30301;BEAUCAIRE;Public;43.747443;4.573623
300000056;CH PONT ST ESPRIT;30134;PONT ST ESPRIT;Public;44.247263;4.642094
300000064;CH UZES;30701;UZES;Public;44.023277;4.405995
300000072;CH LE VIGAN;30120;LE VIGAN;Public;43.992202;3.609262
300000478;CH LES CHATAIGNIERS PONTEILS;30450;PONTEILS ET BRESIS;Public;44.398081;3.933570
300006939;HDJ EA LA ROSE VERTE ALES;30100;ALES;Public;44.127912;4.110416
300016680;HJ PIJ CMPEA OUEST MONTAURY CHU NIMES;30900;NIMES;Public;43.834439;4.347320
300016698;HJ PIJ CMPEA VAUVERT CHU NIMES;30600;VAUVERT;Public;43.697261;4.281828
300017910;HJ PSY GEN BOURDALOUE CHU NIMES;30000;NIMES;Public;43.832307;4.361937
300018231;CMP PSY ADULTE VAUVERT;30600;VAUVERT;Public;43.700727;4.283335
300018249;CMP PSY ADULTE SOMMIERES;30250;SOMMIERES;Public;43.780846;4.091792
300018256;CMPEA PIJ ST GILLES;30800;ST GILLES;Public;43.677694;4.432100
300022639;ESCRIM;30900;NIMES;Public;43.814652;4.356289
300023041;HDJ ADULT-SSC LE MAS CHALON ALES;30100;ALES;Public;44.134275;4.071459
300782117;CHU NIMES CAREMEAU;30029;NIMES;Public;43.825576;4.316146
300782125;CTRE SOINS PA SERRE CAVALIER CHU NIMES;30006;NIMES;Public;43.814652;4.356289
300782141;CENTRE MEDICAL GRAU DU ROI CHU NIMES;30240;LE GRAU DU ROI;Public;43.552815;4.112223
300782166;HJ PIJ CMPEA EST PELLECUER CHU NIMES;30006;NIMES;Public;43.814652;4.356289
300782364;HC ADULT-EA-PERINAT-SSC ALES;30103;ALES;Public;44.125356;4.089242
300784741;HDJ EA LA MAISON LUNE LE VIGAN;30120;LE VIGAN;Public;43.986636;3.597503
310000013;CTRE CONVAL GERONTO HOPITAUX DE LUCHON;31110;BAGNERES DE LUCHON;Public;42.791153;0.597284
310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;31806;ST GAUDENS;Public;43.120066;0.727303
310000336;CH REVEL;31250;REVEL;Public;43.455360;2.004605
310000484;HOTEL DIEU ST JACQUES CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310013628;CH MURET;31605;MURET;Public;43.459986;1.326233
310014899;HJ PIJ PETITS 3 A 8 ANS GRAVE CHU TLSE;31059;TOULOUSE;Public;43.604082;1.433805
310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310018890;HJ PSY GEN LE RAMEL VERFEIL CH LAVAUR;31590;VERFEIL;Public;43.656357;1.683442
310019351;HOPITAL LARREY CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310019617;HJ PIJ BORIS VIAN 8-12 ANS PURPAN CHU;31059;TOULOUSE;Public;43.604082;1.433805
310019625;HJ PIJ ADOS APJA HOP PURPAN CHU TLSE;31000;TOULOUSE;Public;43.604082;1.433805
310022298;HOPITAL GARONNE CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310025077;HOPITAL PSY ADULTE HC HJ CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310025333;ONCOPOLE CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310032537;PHARMACIE LOGIPHARMA CHU TLSE;31270;CUGNAUX;Public;43.559816;1.361559
310032545;PHARMACIE STERILISATION CHU TLSE;31100;TOULOUSE;Public;43.555578;1.402310
310034020;HJ PIJ FRONTON CHU TOULOUSE;31620;FRONTON;Public;43.837767;1.389247
310781067;HOPITAL JOSEPH DUCUING TOULOUSE;31076;TOULOUSE;ESPIC;43.596352;1.429633
310782339;CRF LA FONTAINE SALEE CHU TOULOUSE;31260;SALIES DU SALAT;Public;43.101634;0.961513
310782347;ONCOPOLE CLAUDIUS REGAUD TOULOUSE;31059;TOULOUSE;ESPIC;43.604082;1.433805
310783048;HOPITAL PURPAN CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310783063;HOPITAL LA GRAVE CHU TOULOUSE;31059;TOULOUSE;Public;43.604082;1.433805
310784558;CRF LES HOPITAUX DE LUCHON;31110;BAGNERES DE LUCHON;Public;42.784966;0.595619
310787304;CL ADOLESCENCE VILLA CHU TLSE;31059;TOULOUSE;Public;43.604082;1.433805
310793583;HJ CMP CATTG ADULT PHOEBUS ST GAUDENS;31800;ST GAUDENS;Public;43.107476;0.718495
320000086;CH AUCH EN GASCOGNE;32008;AUCH;Public;43.656961;0.570820
320000102;CH CONDOM;32100;CONDOM;Public;43.956472;0.379437
320000110;EPS LOMAGNE SITE DE FLEURANCE;32500;FLEURANCE;Public;43.855923;0.660235
320000128;CH GIMONT;32201;GIMONT;Public;43.632989;0.866773
320000144;CHI LOMBEZ SAMATAN;32220;LOMBEZ;Public;43.476138;0.910890
320000151;CH DE MAUVEZIN;32120;MAUVEZIN;Public;43.729000;0.875339
320000169;CH MIRANDE;32300;MIRANDE;Public;43.510933;0.403550
320000177;CH NOGARO;32110;NOGARO;Public;43.756997;-0.031169
320000185;CH DE VIC FEZENSAC;32190;VIC FEZENSAC;Public;43.760158;0.296499
320005879;SSR LA RIBERE CH AUCH;32000;AUCH;Public;43.628580;0.584511
320782733;CTRE PLANIF FAM CH AUCH;32000;AUCH;Public;43.625648;0.577559
320782766;ANNEXE PASTEUR CH AUCH;32000;AUCH;Public;43.644628;0.589296
330000332;HOPITAL SUBURBAIN DU BOUSCAT;33491;LE BOUSCAT;ESPIC;44.867805;-0.618868
330000340;MSP BORDEAUX BAGATELLE;33401;TALENCE;ESPIC;44.806420;-0.592018
330000555;CENTRE HOSPITALIER D'ARCACHON;33164;LA TESTE;Public;44.612746;-1.113951
330000571;CH DE LA HAUTE GIRONDE;33394;BLAYE;Public;45.127019;-0.655446
330000589;CH SUD GIRONDE - SITE LANGON;33212;LANGON;Public;44.535691;-0.241774
330000597;CH SUD GIRONDE - SITE LA REOLE;33192;LA REOLE;Public;44.591815;-0.044085
330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;33505;LIBOURNE;Public;44.920384;-0.226836
330000613;CENTRE HOSPITALIER STE FOY LA GRANDE;33220;STE FOY LA GRANDE;Public;44.842526;0.222311
330000662;INSTITUT BERGONIE;33076;BORDEAUX;ESPIC;44.823743;-0.580760
330008087;HOPITAL DE JOUR ADULTES LA MARGERIDE;33350;CASTILLON LA BATAILLE;Public;44.855136;-0.050562
330008095;HOPITAL DE JOUR ADULTES CLE DES CHAMPS;33500;LIBOURNE;Public;44.936341;-0.242180
330008103;HOPITAL DE JOUR ADULTES LE MAGNOLIA;33240;ST ANDRE DE CUBZAC;Public;44.997594;-0.445847
330040569;HOPITAL DE JOUR ENFANTS AMAZONE;33500;LIBOURNE;Public;44.913823;-0.228033
330058355;CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE;33220;STE FOY LA GRANDE;Public;44.842504;0.221770
330058702;MSP BAGATELLE SITE ROBERT PICQUÉ;33882;VILLENAVE D ORNON;ESPIC;44.775080;-0.554530
330780495;CLINIQUE MUTUALISTE DU MEDOC;33340;LESPARRE MEDOC;ESPIC;45.304125;-0.937287
330780529;CLINIQUE MUTUALISTE DE PESSAC;33608;PESSAC;ESPIC;44.806506;-0.609627
330781337;HOPITAL XAVIER ARNOZAN - CHU;33604;PESSAC;Public;44.787468;-0.675933
330781352;HOPITAL SAINT-ANDRE - CHU;33075;BORDEAUX;Public;44.851897;-0.587877
330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;33076;BORDEAUX;Public;44.851897;-0.587877
330783648;HOPITAL HAUT-LEVEQUE - CHU;33604;PESSAC;Public;44.787468;-0.675933
330783721;HOPITAL GARDEROSE;33505;LIBOURNE;Public;44.896668;-0.226143
330790882;HOPITAL DE JOUR POUR ENFANTS ROCHEREAU;33240;ST ANDRE DE CUBZAC;Public;45.001714;-0.416134
330792391;HOPITAL DE JOUR POUR ENFANTS ST GIRONS;33920;ST GIRONS D AIGUEVIVES;Public;45.131016;-0.508561
330802752;CENTRE JEAN ABADIE - CHU;33077;BORDEAUX;Public;44.851897;-0.587877
330804501;CENTRE HOSPITALIER DE BAZAS;33430;BAZAS;Public;44.433733;-0.207446
340000033;CH BEZIERS;34525;BEZIERS;Public;43.342656;3.213131
340000173;CH PEZENAS;34120;PEZENAS;Public;43.460061;3.419081
340000181;CH ST PONS DE THOMIERES;34220;ST PONS DE THOMIERES;Public;43.490878;2.754886
340000199;CHU MONTPELLIER;34000;MONTPELLIER;Public;43.620230;3.903849
340000207;ICM MONTPELLIER;34298;MONTPELLIER;ESPIC;43.610476;3.870480
340000215;CH LODEVE;34702;LODEVE;Public;43.696674;3.345420
340000223;HOPITAL ST CLAIR SETE HBT;34207;SETE;Public;43.406820;3.687298
340000231;CH LUNEL;34403;LUNEL;Public;45.877003;3.713592
340000249;CH CLERMONT L'HERAULT;34800;CLERMONT L HERAULT;Public;43.625978;3.437407
340007939;CLAT SITE ARNAUD DE VILLENEUVE CHU MTP;34295;MONTPELLIER;Public;43.633401;3.850049
340007988;CEGIDD SITE ST ELOI;34000;MONTPELLIER;Public;43.610285;3.879948
340008028;CTRE DEPISTAGE GRATUIT SIDA HEPATITES;34525;BEZIERS;Public;43.343264;3.233465
340008069;CONSULTATIONS DEPART ANTI TUBERCULEUSE;34525;BEZIERS;Public;43.343264;3.233465
340008176;CTRE SPEC HAUT LANGUEDOC CH ST PONS;34220;ST PONS DE THOMIERES;Public;43.490878;2.754886
340008275;CENTRE ANTONIN BALMES CHU MONTPELLIER;34295;MONTPELLIER;Public;43.610476;3.870480
340016732;HJ PSY GEN SITE PERREAL CH BEZIERS;34500;BEZIERS;Public;43.343070;3.235140
340017771;SSR CH BEZIERS;34525;BEZIERS;Public;43.343264;3.233465
340020304;HJ PSY GEN GIGNAC CHU MONTPELLIER;34150;GIGNAC;Public;43.649387;3.556778
340020320;HJ PSY ADULTE ARCEAUX VOLONTAIRES;34000;MONTPELLIER;Public;43.609977;3.864635
340020338;HJ PSY GEN PAVILLON 41 CHS COLOMBIERE;34000;MONTPELLIER;Public;43.609002;3.881273
340020353;HJ PSY GEN CLOS DU MOULIN MEZE CHU MPL;34140;MEZE;Public;43.423486;3.601555
340020361;HJ PSY GEN MAIRE COURNONTERRAL CHU MPL;34660;COURNONTERRAL;Public;43.553927;3.724344
340020585;HJ PSY GEN LA BARAQUETTE SETE HBT;34207;SETE;Public;43.406820;3.687298
340020593;HJ PIJ FRONTIGNAN HBT;34110;FRONTIGNAN;Public;43.443309;3.755072
340020601;HJ PIJ MEZE HBT;34140;MEZE;Public;43.435562;3.584267
340021260;L'ARCHE BLEUE;34830;CLAPIERS;Public;43.662179;3.900053
340021286;HJ PSY GEN NEW FRESCO CHS COLOMBIERE;34090;MONTPELLIER;Public;43.627806;3.858130
340021294;HJ PIJ VILLA LES 2 RUISSEAUX CHU MPL;34070;MONTPELLIER;Public;43.605372;3.824847
340021302;HJ PIJ VILLA ST GEORGES CHU MPL;34000;MONTPELLIER;Public;43.610476;3.870480
340022763;CHU MTP SMUR ANTENNE LUNEL;34403;LUNEL;Public;43.682153;4.134762
340022771;CHU MTP SMUR ANTENNE GANGES;34190;GANGES;Public;43.932429;3.703031
340025238;CMP CATTP ADULTE LION GRAND CHEMIN;34000;MONTPELLIER;Public;43.623357;3.854246
340025246;HJ CMP CATTP ADULTE CLERMONT L'HERAULT;34800;CLERMONT L HERAULT;Public;43.616709;3.452238
340025279;CHU MTP PF TELEPHONE SAMU VAILHAUQUES;34570;VAILHAUQUES;Public;43.609264;3.737546
340027739;CHU MTP SMUR ANTENNE CLERMONT HERAULT;34800;CLERMONT L HERAULT;Public;43.625978;3.437407
340028422;PHARMACIE EUROMEDECINE CHU MTP;34790;GRABELS;Public;43.645551;3.832530
340030188;HJ PSY GEN MOULARES CHU MTP;34000;MONTPELLIER;Public;43.600552;3.899227
340030527;HJ ADULTES LES TANNES BASSES CHU MTP;34800;CLERMONT L HERAULT;Public;43.616586;3.452676
340032010;SMR LES PERGOLINES SETE;34200;SETE;Public;43.399075;3.661051
340032028;HAD HBT SETE;34207;SETE;Public;43.406820;3.687298
340032820;ICM ST JEAN DE VEDAS;34430;ST JEAN DE VEDAS;ESPIC;43.574701;3.832007
340780220;CH PAUL COSTE FLORET LAMALOU LES BAINS;34240;LAMALOU LES BAINS;Public;43.593024;3.080799
340780436;HOPITAL ST LOUP AGDE HBT;34300;AGDE;Public;43.298209;3.483364
340780444;CH BEDARIEUX;34600;BEDARIEUX;Public;43.618488;3.161625
340780485;CHS LA COLOMBIERE CHU MONTPELLIER;34090;MONTPELLIER;Public;43.627806;3.858130
340780642;CL BEAU SOLEIL;34070;MONTPELLIER;ESPIC;43.617113;3.890899
340781608;CL DU MAS DE ROCHET CASTELNAU LE LEZ;34172;CASTELNAU LE LEZ;ESPIC;43.637422;3.910191
340782036;HOPITAL ST ELOI CHU MONTPELLIER;34295;MONTPELLIER;Public;43.610476;3.870480
340782085;HOPITAL GUI DE CHAULIAC CHU MTP;34295;MONTPELLIER;Public;43.610476;3.870480
340782531;CTRE SOINS D'ENSEIG RECHERCHE DENTAIRE;34295;MONTPELLIER;Public;43.610476;3.870480
340782622;CTRE PSYCHOTHERAPIE C CLAUDEL CH BEZIE;34500;BEZIERS;Public;43.343985;3.242325
340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;34295;MONTPELLIER;Public;43.633401;3.850049
340787084;HJ PSY GEN CMP LUNEL CHU MONTPELLIER;34400;LUNEL;Public;43.678331;4.119833
340787118;HJ PSY GEN PUSSIN LODEVE CHU MPL;34700;LODEVE;Public;43.734935;3.321676
340787266;HJ PIJ SETE HBT;34200;SETE;Public;43.410229;3.688013
340795947;CENTRE DE PLANIFICATION CH BEZIERS;34500;BEZIERS;Public;43.341041;3.253459
340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;34295;MONTPELLIER;Public;43.633401;3.850049
340797372;SERVICE MEDICO PSY ADULTES SETE HBT;34200;SETE;Public;43.407063;3.667546
350000063;HOPITAL ST THOMAS DE VILLENEUVE BAIN;35470;BAIN DE BRETAGNE;ESPIC;47.840444;-1.681415
350000071;HOPITAL ARTHUR GARDINER;35800;DINARD;ESPIC;48.632627;-2.065861
350000139;CLINIQUE MUTUALISTE DE LA SAGESSE;35043;RENNES;ESPIC;48.110899;-1.683650
350000147;GHRE - SITE SAINT MALO BROUSSAIS;35403;ST MALO;Public;48.642082;-1.988626
350000154;C.H FOUGERES;35305;FOUGERES;Public;47.955090;-1.299494
350000162;CHIRC SITE REDON;35603;REDON;Public;47.655967;-2.073255
350000188;CENTRE HOSPITALIER   VITRE;35506;VITRE;Public;48.122791;-1.226774
350000204;CENTRE LOCAL HOSPITALIER SAINT JOSEPH;35270;COMBOURG;ESPIC;48.411246;-1.725879
350000212;CENTRE HOSPITALIER LA GUERCHE DE BGNE;35130;LA GUERCHE DE BRETAGNE;Public;47.945127;-1.243250
350000279;GHRE - SITE ROSAIS;35403;ST MALO;Public;48.642082;-1.988626
350000360;CH DES MARCHES DE BRETAGNE SAINT BRICE;35460;MAEN ROCH;Public;48.408651;-1.361453
350000410;CH DE LA ROCHE AUX FÉES JANZE;35150;JANZE;Public;47.962752;-1.499270
350000428;CENTRE HOSPITALIER GRAND-FOUGERAY;35390;GRAND FOUGERAY;Public;47.724042;-1.732908
350000436;CH DE BROCELIANDE SITE DE MONFORT;35162;MONTFORT SUR MEU;Public;48.126397;-1.954469
350000444;CH DES MARCHES DE BRETAGNE - ANTRAIN;35560;VAL COUESNON;Public;48.456719;-1.480340
350000451;CH BROCÉLIANDE SITE ST MEEN LE GRAND;35290;ST MEEN LE GRAND;Public;48.187192;-2.202556
350000741;CHRU RENNES SITE PONTCHAILLOU;35000;RENNES;Public;48.118780;-1.693679
350002200;CLINIQUE SAINT YVES;35044;RENNES;ESPIC;48.101885;-1.663243
350002812;C.R.L.C.C. EUGENE MARQUIS;35000;RENNES;ESPIC;48.121435;-1.702083
350005070;HDJ E RENAN;35403;ST MALO;Public;48.642082;-1.988626
350006771;CHRU RENNES SITE LA TAUVRAIS;35000;RENNES;Public;48.109991;-1.684270
350007084;CHRU RENNES SITE HOPITAL SUD;35000;RENNES;Public;48.110899;-1.683650
350016135;SERVICE DE S.S.R. - CH VITRÉ;35506;VITRE;Public;48.111352;-1.192619
350040499;GHRE - SITE CANCALE;35260;CANCALE;Public;48.682199;-1.867257
350042008;CHRU RENNES SITE ECOLE R DESNOS;35000;RENNES;Public;48.118780;-1.693679
350044038;HOPITAL DE JOUR - CH REDON;35600;REDON;Public;47.654065;-2.080656
350044228;HDJ CMP CATTP COMBOURG;35270;COMBOURG;Public;48.414017;-1.735900
350045068;HDJ CMP CATTP DOL-DE-BRETAGNE;35120;DOL DE BRETAGNE;Public;48.544552;-1.748749
350045076;HDJ CMP CATTP DINARD;35800;DINARD;Public;48.630675;-2.067150
350051199;CH REDON SITE UNITE D'HOSPIT LANRUA;35600;REDON;Public;47.660565;-2.065156
350051470;UNITE D'INVESTIGATION CLINIQUE DU CIR;35053;RENNES;Public;48.110899;-1.683650
350053013;CHU RENNES SITE SAINT LAURENT;35000;RENNES;Public;48.099256;-1.679221
350054680;POLYCLINIQUE SAINT LAURENT;35006;RENNES;ESPIC;48.137735;-1.657218
350055265;GHRE - CENTRE SANTE MENTALE Y.PELICIER;35400;ST MALO;Public;48.620203;-1.978279
350057428;CMP REDON;35600;REDON;Public;47.655984;-2.079688
350057436;HOPITAL DE JOUR AIGU;35600;REDON;Public;47.660565;-2.065156
360000038;CH LA TOUR BLANCHE -  ISSOUDUN;36105;ISSOUDUN;Public;46.947906;1.989357
360000137;CH CHATEAUROUX;36019;CHATEAUROUX;Public;46.789742;1.678693
360000145;CH LA CHATRE;36400;LA CHATRE;Public;46.569040;1.985113
360000160;CH DU BLANC;36300;LE BLANC;Public;46.632917;1.058192
360000178;CH SAINT CHARLES DE VALENCAY;36600;VALENCAY;Public;47.162077;1.572888
360000202;CH CHATILLON SUR INDRE;36700;CHATILLON SUR INDRE;Public;46.988793;1.164508
360000251;CH LEVROUX;36110;LEVROUX;Public;46.981623;1.611621
360000327;CH CHATEAUROUX SITE GIREUGNE-ST MAUR;36250;ST MAUR;Public;46.778043;1.658479
360003149;CH CHATEAUROUX SSR ZAC DES CHEVALIERS;36000;CHATEAUROUX;Public;46.792853;1.706326
360006258;SSR CH CHÂTEAUROUX;36000;CHATEAUROUX;Public;46.804353;1.692994
360006399;PSY INFANTO-JUVÉNILE HOSPITALISA. JOUR;36100;ISSOUDUN;Public;46.949014;1.993110
360006407;PSY GÉNÉRALE HOSPITALISATION JOUR;36000;CHATEAUROUX;Public;46.808949;1.681203
360008056;CH CHATEAUROUX - ANTENNE DU BLANC;36300;LE BLANC;Public;46.632917;1.058192
360008064;CH CHATEAUROUX - ANTENNE CH CHATILLON;36700;CHATILLON SUR INDRE;Public;46.988793;1.164508
360008072;CH CHATEAUROUX - ANTENNE CH ISSOUDUN;36101;ISSOUDUN;Public;46.944428;2.015440
360008387;CH CHATEAUROUX SITE DE LA CHATRE;36400;LA CHATRE;Public;46.569040;1.985113
370000499;CHRU CLOCHEVILLE - TOURS;37044;TOURS;Public;47.395476;0.695848
370000515;CTRE CONVAL. L'ERMITAGE CHRU TOURS;37081;TOURS;Public;47.395476;0.695848
370000531;CH DU CHINONAIS;37500;ST BENOIT LA FORET;Public;47.206352;0.317766
370000580;CHIC CHÂTEAU-RENAULT HÔP DR J.DELANEAU;37110;CHATEAU RENAULT;Public;47.588897;0.917931
370000861;CHRU BRETONNEAU - TOURS;37044;TOURS;Public;47.395476;0.695848
370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;37403;AMBOISE;Public;47.397272;0.987649
370000895;HJ ADULTES CH CHINON;37502;CHINON;Public;47.174042;0.249889
370000903;CH PAUL MARTINAIS - LOCHES;37600;LOCHES;Public;47.128804;1.002084
370000986;CH LOUIS SEVESTRE;37390;LA MEMBROLLE SUR CHOISILLE;Public;47.439322;0.645601
370001109;CH DE LUYNES - ET;37230;LUYNES;Public;47.395074;0.555268
370001158;CH SAINTE MAURE DE TOURAINE;37800;STE MAURE DE TOURAINE;Public;47.106447;0.613216
370002479;CENTRE DEPISTAGE ANONYME GRATUIT VIH;37000;TOURS;Public;47.388995;0.682895
370002628;HJ ENFANTS CH CHINON;37170;CHAMBRAY LES TOURS;Public;47.333827;0.737390
370004301;USSR PERSONNES AGEES CH DE LOCHES;37600;LOCHES;Public;47.121547;0.979895
370004384;LACTARIUM CHRU TOURS SITE BRETONNEAU;37044;TOURS;Public;47.395476;0.695848
370004418;CENTRE PSYCHOTHERAPIQUE DU CHRU TOURS;37550;ST AVERTIN;Public;47.355080;0.724321
370004467;CHRU TROUSSEAU - CHAMBRAY;37170;CHAMBRAY LES TOURS;Public;47.344359;0.714020
370005001;"""POUPONNIERE """"BEAU SITE"""" CHR TOURS""";37550;ST AVERTIN;Public;47.366716;0.732300
370005050;CENTRE PSY.UNIVERSITAIRE-CHRU TOURS;37541;ST CYR SUR LOIRE;Public;47.416945;0.657995
370011249;CRECHE FAMILIALE;37044;TOURS;Public;47.395476;0.695848
370013393;CHRU DE TOURS - ANTENNE DE LOCHES;37600;LOCHES;Public;47.128804;1.002084
370013401;CHRU DE TOURS - ANTENNE CL L'ALLIANCE;37540;ST CYR SUR LOIRE;Public;47.433053;0.666636
370017204;HJ ADULTES ROBERT DEBRE;37403;AMBOISE;Public;47.397272;0.987649
370017253;HJ ADULTES LES CLOSEAUX CHINON;37500;CHINON;Public;47.178218;0.255953
370017303;HJ ADULTES CHATEAU RENAULT;37110;CHATEAU RENAULT;Public;47.591221;0.904831
370017311;CMP ADULTES CHATEAU RENAULT;37110;CHATEAU RENAULT;Public;47.591221;0.904831
370017329;CATTG ADULTES CHATEAU RENAULT;37110;CHATEAU RENAULT;Public;47.591221;0.904831
370017360;HJ ADULTES LA CHEVALERIE;37100;TOURS;Public;47.415486;0.688579
370017394;HJ ADULTES PSY A;37000;TOURS;Public;47.390738;0.673993
370100158;CHRU TOURS PMI;37044;TOURS;Public;47.395476;0.695848
380000018;CH RHUMATOLOGIQUE D'URIAGE;38410;ST MARTIN D URIAGE;Public;45.140949;5.834712
380000026;CH FABRICE MARCHIOL LA MURE;38350;LA MURE D ISERE;Public;44.905199;5.794488
380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;38302;BOURGOIN JALLIEU;Public;45.597957;5.266993
380000042;CH YVES TOURAINE;38480;LE PONT DE BEAUVOISIN;Public;45.538514;5.664638
